name,image_url,category,details_url,region,habitat
Rock Sea Bass,https://myfwc.com/media/13863/rockseabass.jpg,Sea Bass,https://myfwc.com/wildlifehabitats/profiles/saltwater/sea-bass/rock-sea-bass/,Florida,Saltwater
Sand Perch,https://myfwc.com/media/13867/sandperch.jpg,Sea Bass,https://myfwc.com/wildlifehabitats/profiles/saltwater/sea-bass/sand-perch/,Florida,Saltwater
Atlantic Sharpnose Shark,https://myfwc.com/media/13785/atlanticsharpnose.jpg,Shark,https://myfwc.com/wildlifehabitats/profiles/saltwater/sharks/atlantic-sharpnose-shark/,Florida,Saltwater
Blacknose Shark,https://myfwc.com/media/13797/blacknoseshark.jpg,Shark,https://myfwc.com/wildlifehabitats/profiles/saltwater/sharks/blacknose-shark/,Florida,Saltwater
Blacktip Shark,https://myfwc.com/media/13799/blacktipshark.jpg,Shark,https://myfwc.com/wildlifehabitats/profiles/saltwater/sharks/blacktip-shark/,Florida,Saltwater
Blue Shark,https://myfwc.com/media/13804/blueshark.jpg,Shark,https://myfwc.com/wildlifehabitats/profiles/saltwater/sharks/blue-shark/,Florida,Saltwater
Bonnethead Shark,https://myfwc.com/media/13806/bonnethead.jpg,Shark,https://myfwc.com/wildlifehabitats/profiles/saltwater/sharks/bonnethead-shark/,Florida,Saltwater
Bull Shark,https://myfwc.com/media/13807/bullshark.jpg,Shark,https://myfwc.com/wildlifehabitats/profiles/saltwater/sharks/bull-shark/,Florida,Saltwater
Caribbean Reef Shark,https://myfwc.com/media/13808/caribbeanreefshark.jpg,Shark,https://myfwc.com/wildlifehabitats/profiles/saltwater/sharks/caribbean-reef-shark/,Florida,Saltwater
Dusky Shark,https://myfwc.com/media/13817/duskyshark.jpg,Shark,https://myfwc.com/wildlifehabitats/profiles/saltwater/sharks/dusky-shark/,Florida,Saltwater
Finetooth Shark,https://myfwc.com/media/13820/finetooth.jpg,Shark,https://myfwc.com/wildlifehabitats/profiles/saltwater/sharks/finetooth-shark/,Florida,Saltwater
Lemon Shark,https://myfwc.com/media/13842/lemonshark.jpg,Shark,https://myfwc.com/wildlifehabitats/profiles/saltwater/sharks/lemon-shark/,Florida,Saltwater
Nurse Shark,https://myfwc.com/media/13852/nurseshark.jpg,Shark,https://myfwc.com/wildlifehabitats/profiles/saltwater/sharks/nurse-shark/,Florida,Saltwater
Sand Tiger Shark,https://myfwc.com/media/13870/sandtigershark.jpg,Shark,https://myfwc.com/wildlifehabitats/profiles/saltwater/sharks/sand-tiger-shark/,Florida,Saltwater
Sandbar Shark,https://myfwc.com/media/13866/sandbarshark.jpg,Shark,https://myfwc.com/wildlifehabitats/profiles/saltwater/sharks/sandbar-shark/,Florida,Saltwater
Scalloped Hammerhead Shark,https://myfwc.com/media/13872/scallopedhammerhead.jpg,Shark,https://myfwc.com/wildlifehabitats/profiles/saltwater/sharks/scalloped-hammerhead-shark/,Florida,Saltwater
Shortfin Mako Shark,https://myfwc.com/media/13876/shortfinmako.jpg,Shark,https://myfwc.com/wildlifehabitats/profiles/saltwater/sharks/shortfin-mako-shark/,Florida,Saltwater
Smooth Dogfish,https://myfwc.com/media/13881/smoothdogfish.jpg,Shark,https://myfwc.com/wildlifehabitats/profiles/saltwater/sharks/smooth-dogfish/,Florida,Saltwater
Spinner Shark,https://myfwc.com/media/13887/spinnershark.jpg,Shark,https://myfwc.com/wildlifehabitats/profiles/saltwater/sharks/spinner-shark/,Florida,Saltwater
Spiny Dogfish,https://myfwc.com/media/13888/spinydogfish.jpg,Shark,https://myfwc.com/wildlifehabitats/profiles/saltwater/sharks/spiny-dogfish/,Florida,Saltwater
Thresher Shark,https://myfwc.com/media/13899/threshershark.jpg,Shark,https://myfwc.com/wildlifehabitats/profiles/saltwater/sharks/thresher-shark/,Florida,Saltwater
Tiger Shark,https://myfwc.com/media/13900/tigershark.jpg,Shark,https://myfwc.com/wildlifehabitats/profiles/saltwater/sharks/tiger-shark/,Florida,Saltwater
Blackfin Snapper,https://myfwc.com/media/13794/blackfinsnapper.jpg,Snapper,https://myfwc.com/wildlifehabitats/profiles/saltwater/snapper/blackfin-snapper/,Florida,Saltwater
Cubera Snapper,https://myfwc.com/media/13813/cuberasnapper.jpg,Snapper,https://myfwc.com/wildlifehabitats/profiles/saltwater/snapper/cubera-snapper/,Florida,Saltwater
Dog Snapper,https://myfwc.com/media/13815/dogsnapper.jpg,Snapper,https://myfwc.com/wildlifehabitats/profiles/saltwater/snapper/dog-snapper/,Florida,Saltwater
Gray Snapper,https://myfwc.com/media/13826/graysnapper.jpg,Snapper,https://myfwc.com/wildlifehabitats/profiles/saltwater/snapper/gray-snapper/,Florida,Saltwater
Lane Snapper,https://myfwc.com/media/13840/lanesnapper.jpg,Snapper,https://myfwc.com/wildlifehabitats/profiles/saltwater/snapper/lane-snapper/,Florida,Saltwater
Mahogany Snapper,https://myfwc.com/media/13849/mahoganysnapper.jpg,Snapper,https://myfwc.com/wildlifehabitats/profiles/saltwater/snapper/mahogany-snapper/,Florida,Saltwater
Mutton Snapper,https://myfwc.com/media/13850/muttonsnapper.jpg,Snapper,https://myfwc.com/wildlifehabitats/profiles/saltwater/snapper/mutton-snapper/,Florida,Saltwater
Queen Snapper,https://myfwc.com/media/13857/queensnapper.jpg,Snapper,https://myfwc.com/wildlifehabitats/profiles/saltwater/snapper/queen-snapper/,Florida,Saltwater
Red Snapper,https://myfwc.com/media/13862/redsnapper.jpg,Snapper,https://myfwc.com/wildlifehabitats/profiles/saltwater/snapper/red-snapper/,Florida,Saltwater
Schoolmaster,https://myfwc.com/media/13874/schoolmaster.jpg,Snapper,https://myfwc.com/wildlifehabitats/profiles/saltwater/snapper/schoolmaster/,Florida,Saltwater
Silk Snapper,https://myfwc.com/media/13877/silksnapper.jpg,Snapper,https://myfwc.com/wildlifehabitats/profiles/saltwater/snapper/silk-snapper/,Florida,Saltwater
Vermilion Snapper,https://myfwc.com/media/13903/vermilionsnapper.jpg,Snapper,k,Florida,Saltwater
Yellowtail Snapper,https://myfwc.com/media/13913/yellowtailsnapper.jpg,Snapper,https://myfwc.com/wildlifehabitats/profiles/saltwater/snapper/yellowtail-snapper/,Florida,Saltwater
Fat Snook,https://myfwc.com/media/13819/fatsnook.jpg,Snook,https://myfwc.com/wildlifehabitats/profiles/saltwater/snook/fat-snook/,Florida,Saltwater
Snook,https://myfwc.com/media/13811/commonsnook.jpg,Snook,https://myfwc.com/wildlifehabitats/profiles/saltwater/snook/snook/,Florida,Saltwater
Swordspine Snook,https://myfwc.com/media/13896/swordspinesnook.jpg,Snook,https://myfwc.com/wildlifehabitats/profiles/saltwater/snook/swordspine-snook/,Florida,Saltwater
Tarpon Snook,https://myfwc.com/media/13898/tarponsnook.jpg,Snook,https://myfwc.com/wildlifehabitats/profiles/saltwater/snook/tarpon-snook/,Florida,Saltwater
Spanish Sardine,https://myfwc.com/media/13886/spanishsardine.jpg,None,https://myfwc.com/wildlifehabitats/profiles/saltwater/spanish-sardine/,Florida,Saltwater
Striped Anchovy,https://myfwc.com/media/13892/stripedanchovy.jpg,None,https://myfwc.com/wildlifehabitats/profiles/saltwater/striped-anchovy/,Florida,Saltwater
Striped Mojarra,https://myfwc.com/media/13893/stripedmojarra.jpg,None,https://myfwc.com/wildlifehabitats/profiles/saltwater/striped-mojarra/,Florida,Saltwater
Ladyfish,https://myfwc.com/media/13839/ladyfish.jpg,Tarpon,https://myfwc.com/wildlifehabitats/profiles/saltwater/tarpon/ladyfish/,Florida,Saltwater
Tarpon,https://myfwc.com/media/18046/tarpon.jpg,Tarpon,https://myfwc.com/wildlifehabitats/profiles/saltwater/tarpon/tarpon/,Florida,Saltwater
Tripletail,https://myfwc.com/media/13902/tripletail.jpg,None,https://myfwc.com/wildlifehabitats/profiles/saltwater/tripletail/,Florida,Saltwater
Atlantic Bonito,https://myfwc.com/media/13782/atlanticbonito.jpg,Tuna,https://myfwc.com/wildlifehabitats/profiles/saltwater/tuna/atlantic-bonito/,Florida,Saltwater
Blackfin Tuna,https://myfwc.com/media/13795/blackfintuna.jpg,Tuna,https://myfwc.com/wildlifehabitats/profiles/saltwater/tuna/blackfin-tuna/,Florida,Saltwater
Bluefin Tuna,https://myfwc.com/media/13800/bluefintuna.jpg,Tuna,https://myfwc.com/wildlifehabitats/profiles/saltwater/tuna/bluefin-tuna/,Florida,Saltwater
Little Tunny,https://myfwc.com/media/13846/littletunny.jpg,Tuna,https://myfwc.com/wildlifehabitats/profiles/saltwater/tuna/little-tunny/,Florida,Saltwater
Skipjack Tuna,https://myfwc.com/media/13880/skipjacktuna.jpg,Tuna,https://myfwc.com/wildlifehabitats/profiles/saltwater/tuna/skipjack-tuna/,Florida,Saltwater
Yellowfin Tuna,https://myfwc.com/media/13911/yellowfintuna.jpg,Tuna,https://myfwc.com/wildlifehabitats/profiles/saltwater/tuna/yellowfin-tuna/,Florida,Saltwater
Yellowfin Menhaden,https://myfwc.com/media/13910/yellowfinmenhaden.jpg,None,https://myfwc.com/wildlifehabitats/profiles/saltwater/yellowfin-menhaden/,Florida,Saltwater
Mangrove rivulus,https://myfwc.com/media/14417/mangroverivulus.jpg,None,https://myfwc.com/wildlifehabitats/profiles/saltwater/mangrove-rivulus/,Florida,Saltwater
Saltmarsh Topminnow,https://myfwc.com/media/14454/saltmarshtopminnow.jpg,None,https://myfwc.com/wildlifehabitats/profiles/saltwater/saltmarsh-topminnow/,Florida,Saltwater
Smalltooth sawfish,https://myfwc.com/media/18518/smalltoothsawfish.jpg,None,https://myfwc.com/wildlifehabitats/profiles/saltwater/smalltooth-sawfish/,Florida,Saltwater
Gulf Menhaden,https://myfwc.com/media/13832/gulfmenhaden.jpg,None,https://myfwc.com/wildlifehabitats/profiles/saltwater/gulf-menhaden/,Florida,Saltwater
