name,image_url,category,details_url,region,habitat
Silk Snapper,images/silksnapper.jpg,Snapper,https://myfwc.com/wildlifehabitats/profiles/saltwater/snapper/silk-snapper/,Florida,Saltwater
Vermilion Snapper,images/vermilionsnapper.jpg,Snapper,https://myfwc.com/wildlifehabitats/profiles/saltwater/snapper/vermilion-snapper/,Florida,Saltwater
Yellowtail Snapper,images/yellowtailsnapper.jpg,Snapper,https://myfwc.com/wildlifehabitats/profiles/saltwater/snapper/yellowtail-snapper/,Florida,Saltwater
Fat Snook,images/fatsnook.jpg,Snook,https://myfwc.com/wildlifehabitats/profiles/saltwater/snook/fat-snook/,Florida,Saltwater
Snook,images/commonsnook.jpg,Snook,https://myfwc.com/wildlifehabitats/profiles/saltwater/snook/snook/,Florida,Saltwater
Swordspine Snook,images/swordspinesnook.jpg,Snook,https://myfwc.com/wildlifehabitats/profiles/saltwater/snook/swordspine-snook/,Florida,Saltwater
Tarpon Snook,images/tarponsnook.jpg,Snook,https://myfwc.com/wildlifehabitats/profiles/saltwater/snook/tarpon-snook/,Florida,Saltwater
Spanish Sardine,images/spanishsardine.jpg,None,https://myfwc.com/wildlifehabitats/profiles/saltwater/spanish-sardine/,Florida,Saltwater
Striped Anchovy,images/stripedanchovy.jpg,None,https://myfwc.com/wildlifehabitats/profiles/saltwater/striped-anchovy/,Florida,Saltwater
Striped Mojarra,images/stripedmojarra.jpg,None,https://myfwc.com/wildlifehabitats/profiles/saltwater/striped-mojarra/,Florida,Saltwater
Ladyfish,images/ladyfish.jpg,Tarpon,https://myfwc.com/wildlifehabitats/profiles/saltwater/tarpon/ladyfish/,Florida,Saltwater
Tarpon,images/tarpon.jpg,Tarpon,https://myfwc.com/wildlifehabitats/profiles/saltwater/tarpon/tarpon/,Florida,Saltwater
Tripletail,images/tripletail.jpg,None,https://myfwc.com/wildlifehabitats/profiles/saltwater/tripletail/,Florida,Saltwater
Atlantic Bonito,images/atlanticbonito.jpg,Tuna,https://myfwc.com/wildlifehabitats/profiles/saltwater/tuna/atlantic-bonito/,Florida,Saltwater
Blackfin Tuna,images/blackfintuna.jpg,Tuna,https://myfwc.com/wildlifehabitats/profiles/saltwater/tuna/blackfin-tuna/,Florida,Saltwater
Bluefin Tuna,images/bluefintuna.jpg,Tuna,https://myfwc.com/wildlifehabitats/profiles/saltwater/tuna/bluefin-tuna/,Florida,Saltwater
Little Tunny,images/littletunny.jpg,Tuna,https://myfwc.com/wildlifehabitats/profiles/saltwater/tuna/little-tunny/,Florida,Saltwater
Skipjack Tuna,images/skipjacktuna.jpg,Tuna,https://myfwc.com/wildlifehabitats/profiles/saltwater/tuna/skipjack-tuna/,Florida,Saltwater
Yellowfin Tuna,images/yellowfintuna.jpg,Tuna,https://myfwc.com/wildlifehabitats/profiles/saltwater/tuna/yellowfin-tuna/,Florida,Saltwater
Yellowfin Menhaden,images/yellowfinmenhaden.jpg,None,https://myfwc.com/wildlifehabitats/profiles/saltwater/yellowfin-menhaden/,Florida,Saltwater
Gulf Menhaden,images/gulfmenhaden.jpg,None,https://myfwc.com/wildlifehabitats/profiles/saltwater/gulf-menhaden/,Florida,Saltwater
